Genes,Celegans,Drosophila,Xenopus,Mice,Human,Human_Celegans,Correlation,perc_celegans_fly,perc_fly_xen,perc_xen_mice,perc_mice_human
HOXD1,2.6,5.5,4.5,4.3,4.3,1.65,0.31,49.19,19.03,22.22,23.26
PAXBP1,1,1.6,1,1,2,2.00,0.31,80.00,31.25,50.00,100.00
UNCX,1.6,2.3,1.6,3.6,1.6,1.00,0.31,89.84,43.48,140.63,27.78
PITX1,7,6.2,5.4,6.3,8.8,1.26,0.31,10.06,9.90,13.26,15.87
PUF60,6.5,11.6,7.7,7.6,12.3,1.89,0.30,14.51,5.40,8.02,13.16
OVOL3,1.6,6.2,5.2,3.2,5.2,3.25,0.30,74.52,16.13,11.83,31.25
SP9,2.6,7.6,5.8,5.5,5.5,2.12,0.30,53.15,13.88,17.24,18.18
CRK,2.6,6.4,2,6.5,4.9,1.88,0.29,50.24,6.38,66.33,15.38
OVOL1,1.6,6.2,3.2,3.2,5.6,3.50,0.29,69.20,9.22,17.86,31.25
TRAK1,2.3,2.6,1.6,1.6,4.6,2.00,0.29,24.57,13.38,21.74,62.50
LHX5,4.4,5.8,5.3,5.2,5.2,1.18,0.29,25.35,17.57,18.87,19.23
TGFB1I1,7.4,11.1,6.6,9.8,10.7,1.45,0.29,14.02,5.56,13.88,10.20
NACA,3.6,5,1,3,8.9,2.47,0.28,15.61,2.25,33.71,33.33
BARHL2,2,5.5,4,4,4,2.00,0.28,68.75,18.18,25.00,25.00
SMARCC2,5,3,4.3,3.6,6,1.20,0.28,10.00,23.89,13.95,27.78
BHLHE23,2,4,2.3,2.3,4.3,2.15,0.26,46.51,13.37,23.26,43.48
RBPMS,3,7.3,2,5.9,6.5,2.17,0.26,37.44,4.21,45.38,16.95
TWIST1,1,5.5,3.5,3.5,3.5,3.50,0.26,157.14,18.18,28.57,28.57
BNC1,1,6,2.6,2,5.9,5.90,0.25,101.69,7.34,13.04,50.00
YWHAB,3.2,4.6,2.6,3.8,4.8,1.50,0.25,29.95,11.78,30.45,26.32
MTA1,6.6,7,3,8.8,8.1,1.23,0.25,13.09,5.29,36.21,11.36
SMAD4,7.9,6.2,6.9,6,9.8,1.24,0.25,8.01,11.36,8.87,16.67
OVOL2,1.6,6.2,3.2,5.2,3.6,2.25,0.24,107.64,14.34,45.14,19.23
RBM39,6.9,7.1,3.9,8,8.5,1.23,0.24,12.11,6.46,24.13,12.50
RBFOX2,6.2,6,3.6,5.6,8.8,1.42,0.24,11.00,6.82,17.68,17.86
SIAH2,1,5.8,2.6,3,4.2,4.20,0.21,138.10,10.67,27.47,33.33
LHX3,4.4,10,4.7,7.2,8.3,1.89,0.21,27.38,5.66,18.46,13.89
HIPK2,6.3,4.6,2.8,7.2,6.5,1.03,0.21,11.23,9.36,39.56,13.89
RCOR3,7.3,8.9,4.9,8.9,9.2,1.26,0.21,13.25,5.98,19.74,11.24
PPARA,5.3,6.6,3.3,6.2,7.2,1.36,0.20,17.30,6.94,26.09,16.13
ARHGAP35,5.2,9.5,4.5,6.9,9,1.73,0.20,20.30,5.26,17.04,14.49
INSR,5.3,8.8,5.5,7.4,7.4,1.40,0.20,22.44,8.45,18.18,13.51
TBPL1,2,4.2,1.6,2.6,4.2,2.10,0.20,50.00,9.07,38.69,38.46
CERS6,5.6,3,3.3,5.3,5.3,0.95,0.19,10.11,20.75,30.30,18.87
TOX4,2,5.8,4.9,2.3,5.3,2.65,0.19,54.72,15.94,8.86,43.48
PRKDC,4.8,1.6,2.6,2.6,5.8,1.21,0.18,5.75,28.02,17.24,38.46
TFAP2D,2,2.6,2.3,2.3,2.3,1.15,0.18,56.52,38.46,43.48,43.48
TFAP2E,2,2.6,2.3,2.3,2.3,1.15,0.18,56.52,38.46,43.48,43.48
ISL2,4.4,7.6,7.3,6.9,5.2,1.18,0.18,33.22,18.47,18.18,14.49
CREB1,6.4,6.9,2,7.6,8.4,1.31,0.17,12.83,3.45,45.24,13.16
FEZF2,3.6,8.6,4.6,4.6,7.8,2.17,0.17,30.63,6.86,12.82,21.74
ONECUT1,3.6,4,6.2,3.3,4.3,1.19,0.16,25.84,36.05,12.38,30.30
SOX21,1.6,6.8,4.8,4,4.1,2.56,0.16,103.66,17.22,20.33,25.00
FHL2,10.5,6.4,4.9,8.4,12,1.14,0.16,5.08,6.38,14.29,11.90
STAT5B,1.6,6.9,3.6,4.8,3.8,2.38,0.15,113.49,13.73,35.09,20.83
SIN3B,2,8.2,1,4.3,6.8,3.40,0.15,60.29,1.79,63.24,23.26
MLXIPL,3,7.9,1.6,5.2,6.7,2.23,0.14,39.30,3.02,48.51,19.23
PRDM1,4.6,7.5,2.3,5.3,8,1.74,0.14,20.38,3.83,28.80,18.87
ZNF197,7.5,5.3,4.8,6.4,8,1.07,0.14,8.83,11.32,16.67,15.63
MAPK8IP1,3.9,3,2,4,4,1.03,0.13,19.23,16.67,50.00,25.00
ONECUT2,3.6,4,2.6,5.3,3.3,0.92,0.13,33.67,19.70,61.77,18.87
SOX12,3.6,6,3.8,6,4.1,1.14,0.13,40.65,15.45,38.51,16.67
POU3F1,2.6,8,5.6,4.9,5,1.92,0.10,61.54,14.00,17.50,20.41
FEZF1,3.6,8.6,4.6,4.6,7.2,2.00,0.10,33.18,7.43,13.89,21.74
CHAF1B,3.6,2,2,5.3,2,0.56,0.10,27.78,50.00,132.50,18.87
ZNF22,4,8.6,5.2,7.1,5.5,1.38,0.10,39.09,10.99,24.83,14.08
DNAJC1,3,4.6,2,6.2,2.6,0.87,0.10,58.97,16.72,119.23,16.13
POU3F3,2.6,8,5,4.9,5,1.92,0.09,61.54,12.50,19.60,20.41
POU3F4,2.6,8,5,4.9,5,1.92,0.09,61.54,12.50,19.60,20.41
CREB3L2,5,2,2,2.3,6.1,1.22,0.08,6.56,16.39,18.85,43.48
HNF4G,4,7.2,3.8,5.6,5.6,1.40,0.07,32.14,9.42,26.32,17.86
ABL1,6.3,9.8,5.3,8.5,7.9,1.25,0.07,19.69,6.85,20.30,11.76
PPARD,5.3,6.6,3.3,5,7.3,1.38,0.06,17.06,6.85,20.76,20.00
ETV2,3,6.9,3.6,3.7,5.6,1.87,0.05,41.07,9.32,18.35,27.03
ZFP36L1,6.8,4.2,3.6,5,7.2,1.06,0.04,8.58,11.90,19.29,20.00
HLF,1,9,1.6,2.6,6.2,6.20,0.04,145.16,2.87,26.21,38.46
FUBP1,8.6,5.2,3.9,9.8,6.5,0.76,0.04,9.30,11.54,38.66,10.20
VSX1,2.6,5.9,1.6,2.6,5.6,2.15,0.04,40.52,4.84,29.02,38.46
HDAC6,5.9,6.1,2.6,5.9,7,1.19,0.04,14.77,6.09,32.42,16.95
HMX3,3.2,6.3,4.5,4.5,4.4,1.38,0.04,44.74,16.23,22.73,22.22
COPS2,2.6,3,1,2.6,3.3,1.27,0.02,34.97,10.10,78.79,38.46
NR2C2,7.4,7.8,3.8,6.2,9.5,1.28,0.01,11.10,5.13,17.17,16.13
CXXC1,3.7,4.6,6.2,1,6,1.62,0.01,20.72,22.46,2.69,100.00
MYBL2,4.3,6.2,3.6,4.6,5.6,1.30,-0.01,25.75,10.37,22.82,21.74
HOXA2,2.6,7.5,4.5,4.3,4.3,1.65,-0.04,67.08,13.95,22.22,23.26
CUX2,6.2,7,4.9,8.2,5.3,0.85,-0.04,21.30,13.21,31.57,12.20
NCOA7,3.3,5.6,2,3,5.2,1.58,-0.06,32.63,6.87,28.85,33.33
PURA,1,2.8,1.6,1.6,1.6,1.60,-0.06,175.00,35.71,62.50,62.50
PURB,1,2.8,1.6,1.6,1.6,1.60,-0.06,175.00,35.71,62.50,62.50
MLXIP,3,7.9,4.2,2.6,6.2,2.07,-0.06,42.47,8.57,9.98,38.46
ELF1,7,6.2,3.3,5.5,7.9,1.13,-0.07,11.21,6.74,21.10,18.18
BPTF,10.2,10.4,5.8,9.6,11.2,1.10,-0.07,9.10,4.98,14.78,10.42
PA2G4,3,2.6,1,2,3.6,1.20,-0.08,24.07,10.68,55.56,50.00
EGR2,7.9,6.9,4.3,8.3,7.1,0.90,-0.08,12.30,8.78,27.19,12.05
DBP,1,9,1.6,1.6,5.2,5.20,-0.09,173.08,3.42,19.23,62.50
TAF1L,1,6.2,1.6,3.6,2,2.00,-0.09,310.00,12.90,112.50,27.78
TSC22D3,6.2,3.3,3.3,3.6,6.1,0.98,-0.10,8.73,16.39,17.88,27.78
CREB3L1,5,2,2,2.3,4.9,0.98,-0.10,8.16,20.41,23.47,43.48
NR2C1,7.4,7.8,3.8,6.8,8.2,1.11,-0.11,12.85,5.94,21.82,14.71
FOXA3,4.8,7.2,4.2,4.2,6.6,1.38,-0.11,22.73,8.84,15.15,23.81
SMARCA5,1.6,4.8,2,2.6,2.6,1.63,-0.11,115.38,16.03,50.00,38.46
SMARCC1,5,3,3,6.4,2,0.40,-0.12,30.00,50.00,106.67,15.63
TSC22D1,6.2,3.3,2.3,5.3,4.8,0.77,-0.12,11.09,14.52,48.01,18.87
PRPF6,2,3,2,3.6,1,0.50,-0.13,150.00,66.67,180.00,27.78
TEAD2,4.6,8.8,3,4.3,7.1,1.54,-0.14,26.94,4.80,20.19,23.26
RCOR2,3.6,8.9,3.3,6.7,3.9,1.08,-0.14,63.39,9.51,52.06,14.93
ERCC3,1,3,1,1,2,2.00,-0.14,150.00,16.67,50.00,100.00
LHX4,4.4,10,5.3,6.9,5.2,1.18,-0.15,43.71,10.19,25.04,14.49
SIX6,2,4.2,2.3,2.6,2.6,1.30,-0.16,80.77,21.06,43.48,38.46
TBX2,2,8.6,3.6,3.7,3.7,1.85,-0.16,116.22,11.31,27.78,27.03
WWP1,8.6,9.6,5.8,8,9.4,1.09,-0.17,11.88,6.43,14.67,12.50
SOX13,6.2,4,4.6,5.2,5,0.81,-0.21,12.90,23.00,22.61,19.23
CNOT2,4.3,3.2,2,2.8,4.3,1.00,-0.22,17.31,14.53,32.56,35.71
PITX3,7,6.2,4.8,6.3,6.7,0.96,-0.22,13.22,11.56,19.59,15.87
E2F1,3,3.6,2,3.6,2.6,0.87,-0.22,46.15,21.37,69.23,27.78
DDX5,7.8,11.3,3.6,6.2,9.9,1.27,-0.23,14.63,3.22,17.40,16.13
SOX11,3.6,6,3.8,4,4.1,1.14,-0.25,40.65,15.45,25.67,25.00
SOX4,3.6,6,3.8,4,4.1,1.14,-0.25,40.65,15.45,25.67,25.00
HMGB2,5.6,6.6,2.6,3,7,1.25,-0.25,16.84,5.63,16.48,33.33
GATA2,8.2,6.5,3.6,6.2,7.5,0.91,-0.29,10.57,7.38,22.96,16.13
BHLHE22,2,4,2.3,2.3,2.3,1.15,-0.29,86.96,25.00,43.48,43.48
TFEC,7.2,4,2,3,6.6,0.92,-0.29,8.42,7.58,22.73,33.33
FHL5,10.5,7.4,4.9,7.8,9,0.86,-0.31,7.83,7.36,17.69,12.82
TFE3,7.2,4,2,7.8,2,0.28,-0.32,27.78,25.00,195.00,12.82
PIAS2,8.8,10.2,5.6,7.3,9.4,1.07,-0.32,12.33,5.84,13.87,13.70
TOX,2,5.8,2.3,2.3,2.3,1.15,-0.36,126.09,17.24,43.48,43.48
POU4F1,4.6,10.7,6,4.9,5,1.09,-0.37,46.52,11.21,16.33,20.41
POU4F3,4.6,10.7,5.6,4.9,5,1.09,-0.38,46.52,10.47,17.50,20.41
POU4F2,4.6,10.7,5,4.9,5,1.09,-0.38,46.52,9.35,19.60,20.41
ZFHX3,7.9,6.4,5.7,6.3,7.2,0.91,-0.39,11.25,12.37,15.35,15.87
GSC,5,4,5.8,3.7,3.7,0.74,-0.39,21.62,39.19,17.24,27.03
MTA2,6.6,7,3,4.2,6.7,1.02,-0.41,15.83,6.40,20.90,23.81
FLNA,13.7,12.4,6.3,10.9,11.9,0.87,-0.42,7.61,4.27,14.54,9.17
FOXO3,8.1,5.6,2,6.6,4.9,0.60,-0.43,14.11,7.29,67.35,15.15
CDC5L,1,3,1,1,1,1.00,-0.43,300.00,33.33,100.00,100.00
OSR1,2.6,6.2,2.6,2.6,2.6,1.00,-0.43,91.72,16.13,38.46,38.46
SFPQ,4.3,4,6,2.6,2.6,0.60,-0.45,35.78,57.69,16.67,38.46
CAPN15,5.6,5.9,3.6,3.3,5.8,1.04,-0.45,18.17,10.52,15.80,30.30
RORA,8.2,8.4,3.3,5,7.6,0.93,-0.49,13.48,5.17,19.94,20.00
PIAS3,8.8,10.2,5.6,8.2,7.8,0.89,-0.49,14.86,7.04,18.77,12.20
HIVEP2,9.5,8,4.4,7.8,7.2,0.76,-0.49,11.70,7.64,24.62,12.82
ATF1,6.4,6.9,4,6.2,5.2,0.81,-0.50,20.73,11.15,29.81,16.13
TAF5,7.1,5.3,7.1,5.2,5.2,0.73,-0.51,14.36,25.76,14.08,19.23
AGO2,6.6,7.3,4.4,3.8,6.6,1.00,-0.53,16.76,9.13,13.09,26.32
NR1D1,4.3,8.4,6.6,3,3,0.70,-0.53,65.12,26.19,15.15,33.33
MYF5,3.2,2,3,2,2,0.63,-0.54,31.25,75.00,33.33,50.00
MYOG,3.2,2,3,2,2,0.63,-0.54,31.25,75.00,33.33,50.00
HIVEP3,9.5,8,4.4,6.9,7.5,0.79,-0.55,11.23,7.33,20.91,14.49
TXNIP,4,3.7,2.3,3.3,3.3,0.83,-0.55,28.03,18.84,43.48,30.30
AHR,2.6,4.8,1,2,2,0.77,-0.56,92.31,10.42,100.00,50.00
HIVEP1,9.5,8,3.9,4,8,0.84,-0.59,10.53,6.09,12.82,25.00
NR1D2,4.3,8.4,5.3,3,3,0.70,-0.60,65.12,21.03,18.87,33.33
ZFHX2,7.9,6.4,4.4,4.6,6.6,0.84,-0.61,12.27,10.42,15.84,21.74
ZFP36L2,6.8,4.2,2.6,3,4.6,0.68,-0.64,13.43,13.46,25.08,33.33
TSC22D2,6.2,3.3,2.3,3,3.6,0.58,-0.65,14.78,19.36,36.23,33.33
EGR3,7.9,6.9,3.9,3.9,6.5,0.82,-0.65,13.44,8.70,15.38,25.64
SNIP1,3.6,1.6,2.6,1.6,1.6,0.44,-0.65,27.78,101.56,38.46,62.50
NACA2,3.6,5,1,3,1.6,0.44,-0.66,86.81,12.50,187.50,33.33
RCOR1,7.3,8.9,2.3,5.9,3.9,0.53,-0.66,31.26,6.63,65.77,16.95
CDX1,5.2,3.2,2.6,1.6,3.6,0.69,-0.67,17.09,22.57,17.09,62.50
HDAC10,5.9,6.1,2.6,3.6,4.6,0.78,-0.68,22.48,9.27,30.10,27.78
DDX17,7.8,11.3,4,3.6,5.9,0.76,-0.70,24.55,6.00,15.25,27.78
GATA1,8.2,6.5,3.6,5.2,5.6,0.68,-0.71,14.16,9.89,25.79,19.23
RORC,8.2,8.4,3.3,6.2,5,0.61,-0.71,20.49,7.86,37.58,16.13
FOXO4,8.1,5.6,2,4.3,4.3,0.53,-0.72,16.08,8.31,50.00,23.26
MYF6,3.2,2,2,2,2,0.63,-0.72,31.25,50.00,50.00,50.00
MYOD1,3.2,2,2,2,2,0.63,-0.72,31.25,50.00,50.00,50.00
GATA3,8.2,6.5,3.6,4.6,5.6,0.68,-0.74,14.16,9.89,22.82,21.74
ONECUT3,3.6,4,3.6,3.3,3.3,0.92,-0.75,33.67,27.27,27.78,30.30
RORB,8.2,8.4,3.3,5.6,5,0.61,-0.76,20.49,7.86,33.94,17.86
PIAS1,8.8,10.2,4.2,4.2,6.2,0.70,-0.78,18.70,6.64,16.13,23.81
DDX20,7.3,5.2,3.6,4.2,4.6,0.63,-0.78,15.49,15.05,25.36,23.81
FOXO6,8.1,5.6,2,2.3,4.3,0.53,-0.79,16.08,8.31,26.74,43.48
NPAS4,3,4.2,3,1.6,1.6,0.53,-0.80,87.50,44.64,33.33,62.50
CTR9,6.3,6.3,3.8,3.5,4.9,0.78,-0.80,20.41,12.31,18.80,28.57
TCERG1,9.9,9.2,8.2,5.2,7.2,0.73,-0.87,12.91,12.38,8.81,19.23
NLK,7.5,6.4,6.7,3.6,3.6,0.48,-0.88,23.70,29.08,14.93,27.78
EGR1,7.9,6.9,6.5,5.9,3.9,0.49,-0.89,22.40,24.15,23.27,16.95
EN1,4.8,5.2,2.6,2.8,2.8,0.58,-0.89,38.69,17.86,38.46,35.71
EN2,4.8,5.2,2.6,2.8,2.8,0.58,-0.89,38.69,17.86,38.46,35.71
PIAS4,8.8,10.2,5.6,5.2,4.2,0.48,-0.92,27.60,13.07,22.11,19.23
CDX4,5.2,3.2,1.6,1.6,1.6,0.31,-0.92,38.46,31.25,62.50,62.50
CCNT1,4.3,4.3,3.8,3.8,3.8,0.88,-0.94,26.32,23.26,26.32,26.32
